,broj_tema,avg_rezultata,posto_poz,posto_neg
2020-09-05,5,-0.5926407814025879,0.2,0.8
2020-09-06,3,-0.9858813484509786,0.0,1.0
2020-09-07,4,-0.4945225715637207,0.25,0.75
2020-09-08,5,-0.992009449005127,0.0,1.0
2020-09-12,3,-0.8270329833030701,0.0,1.0
2020-09-13,12,-0.6572625289360682,0.16666666666666666,0.8333333333333334
2020-09-14,24,-0.5934363280733427,0.20833333333333334,0.7916666666666666
2020-09-15,14,-0.5601879187992641,0.21428571428571427,0.7857142857142857
2020-09-16,6,-0.6481348077456156,0.16666666666666666,0.8333333333333334
2020-09-17,7,-0.14610980238233293,0.42857142857142855,0.5714285714285714
2020-09-18,3,-0.33265185356140137,0.3333333333333333,0.6666666666666666
2020-09-19,6,-0.3256502052148183,0.3333333333333333,0.6666666666666666
2020-09-20,5,-0.9576598048210144,0.0,1.0
2020-09-25,3,-0.9792495568593343,0.0,1.0
2020-09-26,7,-0.9331803151539394,0.0,1.0
2020-09-27,4,-0.5020757466554642,0.25,0.75
2020-09-28,7,-0.4306614739554269,0.2857142857142857,0.7142857142857143
2020-09-29,9,-0.5051148467593722,0.2222222222222222,0.7777777777777778
2020-09-30,7,-0.9230194176946368,0.0,1.0
2020-10-01,2,-0.006734371185302734,0.5,0.5
2020-10-02,9,-0.36528415150112575,0.3333333333333333,0.6666666666666666
2020-10-03,5,-0.6017773866653442,0.2,0.8
2020-10-04,2,-0.9953572750091553,0.0,1.0
2020-10-05,5,-0.5923988580703735,0.2,0.8
2020-10-06,11,-0.4512639479203658,0.2727272727272727,0.7272727272727273
2020-10-07,3,0.30177462100982666,0.6666666666666666,0.3333333333333333
2020-10-08,6,-0.9903197586536407,0.0,1.0
2020-10-16,3,-0.7787421345710754,0.0,1.0
2020-10-17,7,-0.9795708571161542,0.0,1.0
2020-10-18,5,0.0913737416267395,0.6,0.4
2020-10-19,10,-0.603537529706955,0.2,0.8
2020-10-20,3,-0.32227079073588055,0.3333333333333333,0.6666666666666666
2020-10-21,9,-0.775459885597229,0.1111111111111111,0.8888888888888888
2020-10-22,7,-0.9862036194120135,0.0,1.0
2020-10-23,9,-0.18017792701721191,0.4444444444444444,0.5555555555555556
2020-10-24,7,-0.71243645463671,0.14285714285714285,0.8571428571428571
2020-10-25,5,-0.9588647246360779,0.0,1.0
2020-10-26,3,-0.3364313046137492,0.3333333333333333,0.6666666666666666
2020-10-27,8,-0.7524885013699532,0.125,0.875
